{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:42:56'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:43:01'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:43:06'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:43:11'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:43:16'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:43:21'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:45:20'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:45:26'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:45:31'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:46:26'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:46:31'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:46:36'}
{'AuthWfpUser': '3', 'AuthTimeStamp': '2', 'AuthSign': '1', 'EquipmentId': '12345678', 'EquipmentType': '1', 'EquipmentStatus': '1', 'peoplecounting': '1', 'CreationTime': '2021-12-16 15:46:41'}
